3363
67940	7792	514
93647	69330	641
18729	99216	370
13095	51058	1120
7728	59965	573
49718	89567	573
86612	79836	371
40657	15649	19
54778	60577	30
72839	9296	1324
27040	90074	58
49430	41782	1320
64063	68170	263
20635	73880	766
64927	24718	1283
44369	45924	19
14319	14319	134
35076	95392	19
76584	18960	1292
98069	80817	606
27101	27101	134
80955	30075	546
23547	88252	19
13232	19292	1158
79331	7878	1324
15447	28791	1238
17161	33744	1098
43375	39579	1320
2975	84065	641
59805	62704	62
54714	73643	559
28730	35547	1134
93195	93195	575
1298	59344	598
30936	47135	19
56463	56463	134
58720	24848	263
93242	464	19
33855	33855	134
54855	83696	1283
8776	8776	480
69469	916	559
40424	74915	1134
87457	5778	370
49916	67069	1354
33404	30568	748
91177	34901	30
1438	16623	1114
60077	60077	575
4628	50495	1320
65254	84317	687
15447	28522	343
11367	93345	19
20252	34833	573
26027	88851	641
62065	38281	19
82239	16503	1324
53868	7662	446
50799	96586	90
75295	82516	1324
9610	40293	1276
7792	67940	161
33251	15104	606
20879	47087	606
86571	33444	1238
82194	35388	798
4521	53170	606
10244	74459	1283
74647	91556	1238
85924	85924	575
44133	55821	606
1119	1119	755
30451	59050	1283
61681	35185	606
72893	72893	134
22464	10610	1098
66875	16840	75
44626	83434	19
87368	82156	1324
70608	53310	19
51092	51092	480
75588	38802	1283
15415	94892	1134
3792	48993	606
70422	88621	1324
70293	98996	58
1991	77109	370
67403	31990	62
20446	56518	72
32489	52852	370
91832	17723	62
81096	4101	62
40791	42034	19
62245	89841	19
36655	35006	370
66882	50307	798
85700	76360	573
50370	72841	193
41928	21242	62
45928	9724	1238
35911	35911	134
76598	9942	30
71983	37457	1099
12428	30678	1276
58094	91524	606
63610	51737	606
10770	13518	1320
19512	50588	19
37525	66831	1283
4464	62870	840
33337	84533	162
61560	75662	1120
34313	17261	1354
1012	36149	19
8184	8799	606
60573	2070	1324
79860	21061	58
48396	80063	162
83549	61131	606
90460	2636	343
34386	34386	134
72839	71617	58
23552	73485	343
29341	91113	1283
56454	56454	575
100016	22300	606
20861	4697	370
44008	90515	19
48517	88515	19
61577	81700	641
6089	6089	134
11967	13602	1283
77857	77857	982
91510	66185	162
39862	12931	606
11940	16877	62
25983	25983	755
48818	4845	19
33688	86639	162
2451	70344	1238
52776	52776	575
69455	98873	1354
45025	63169	924
32364	11863	573
37971	13000	19
50359	28688	19
38987	12720	606
1302	57374	606
12428	98411	1276
70124	80164	1099
27031	91190	606
13141	21292	1134
13319	13319	575
86912	4514	81
86013	55417	606
53645	9649	371
38216	54391	58
73386	46668	1354
39937	30470	30
68454	58324	573
42776	36730	606
58211	34765	641
4073	4073	134
92488	47006	30
6389	26060	1354
49790	47130	370
